,layer,nodes,lr,batch,runtime,trainAcc,testAcc
0,2,2,0.001,8,604.5396137090002,67.98333,tensor(66.5800)
0,2,2,0.001,16,358.58675566700003,73.96333,tensor(73.1600)
0,2,2,0.001,32,245.36569408299965,11.236667,tensor(11.3500)
0,2,2,0.001,64,191.98885520900058,50.83211,tensor(50.1200)
0,2,2,0.001,128,168.66585929200028,71.63295,tensor(69.5800)
0,2,4,0.001,8,616.2801576669999,78.045,tensor(76.6200)
0,2,4,0.001,16,394.5157582920001,73.045,tensor(72.0200)
0,2,4,0.001,32,278.91048737500023,89.45,tensor(87.1100)
0,2,4,0.001,64,196.53283499999998,74.943306,tensor(72.3600)
0,2,4,0.001,128,618.2314022500004,87.99078,tensor(85.6400)
0,2,8,0.001,8,632.3166083750002,86.185,tensor(84.3400)
0,2,8,0.001,16,403.2471365830006,86.31167,tensor(84.4400)
0,2,8,0.001,32,270.82255941600124,87.145,tensor(84.5700)
0,2,8,0.001,64,1074.7786112499998,94.54709,tensor(91.7900)
0,2,8,0.001,128,520.1811572080005,95.70647,tensor(92.4200)
0,2,16,0.001,8,681.1592895829999,87.45333,tensor(85.9500)
0,2,16,0.001,16,422.85086950000004,88.528336,tensor(86.6200)
0,2,16,0.001,8,777.3243845830002,87.72667,tensor(85.8700)
0,2,16,0.001,16,425.22362554199935,88.47667,tensor(86.6200)
0,2,16,0.001,32,1936.3737797089998,97.96,tensor(95.6700)
0,2,16,0.001,64,1381.5334667080024,88.90909,tensor(86.6400)
0,2,16,0.001,128,755.7438381249958,97.51102,tensor(94.7000)
0,2,32,0.001,8,801.8061694579956,97.88,tensor(96.5900)
0,2,32,0.001,16,3347.6554279160046,98.495,tensor(96.8700)
0,2,32,0.001,32,1699.3597926670045,98.933334,tensor(96.7400)
0,2,32,0.001,64,1112.3923757500015,99.09285,tensor(96.7600)
0,2,32,0.001,128,746.0856998330128,99.18369,tensor(96.8700)
